"Media" "Media.Detailed" "year" "spendings"
"340" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1983 0
"341" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1983 0
"342" "Internet" "Company Website" 1983 0
"343" "Internet" "Internet _ Other" 1983 0
"344" "Telephone" "Telephone" 1983 NA
"345" "Price Discounts" "Price Discounts - Retailers" 1983 0
"346" "Price Discounts" "Price Discounts - Wholesalers" 1983 0
"347" "Audio-Visual" "Audio-Visual" 1983 0
"348" "Socail Media" "Socail Media" 1983 0
"349" "Other" "Other" 1983 123951
"350" "Total" "Total" 1983 1900771
"351" "Newspapers" "Newspapers" 1984 193519
"352" "Magazines" "Magazines" 1984 425912
"353" "Outdoor" "Outdoor" 1984 284927
"354" "Transit" "Transit" 1984 25817
"355" "Point-of-Sale" "Point-of-Sale" 1984 167279
"356" "Promotional Allowances" "Promotional Allowances" 1984 363247
"357" "Sampling Distribution" "Sampling Distribution" 1984 148031
"358" "Specialty Item Distribution" "Specialty Item Distribution" 1984 140431
"359" "Public Entertainment" "Public Entertainment" 1984 59988
"360" "Direct Mail" "Direct Mail" 1984 NA
"361" "Endorsements & Testimonials" "Endorsements & Testimonials" 1984 NA
"362" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1984 NA
"363" "Coupons & Retail-Value-Added" "Coupons" 1984 0
"364" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1984 0
"365" "Internet" "Internet" 1984 NA
"366" "Price Discounts" "Price Discounts" 1984 NA
"367" "Promotional Allowances" "Promotional Allowances _ Retailers" 1984 0
"368" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1984 0
"369" "Promotional Allowances" "Promotional Allowances _  Other" 1984 0
"370" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1984 0
"371" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1984 0
"372" "Public Entertainment" "Public Entertainment _ Adult-Only" 1984 0
"373" "Public Entertainment" "Public Entertainment _ General-Audience" 1984 0
"374" "Sponsorships" "Sponsorships" 1984 NA
"375" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1984 0
"376" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1984 0
"377" "Internet" "Company Website" 1984 0
"378" "Internet" "Internet _ Other" 1984 0
"379" "Telephone" "Telephone" 1984 NA
"380" "Price Discounts" "Price Discounts - Retailers" 1984 0
"381" "Price Discounts" "Price Discounts - Wholesalers" 1984 0
"382" "Audio-Visual" "Audio-Visual" 1984 0
"383" "Socail Media" "Socail Media" 1984 0
"384" "Other" "Other" 1984 286035
"385" "Total" "Total" 1984 2095231
"386" "Newspapers" "Newspapers" 1985 203527
"387" "Magazines" "Magazines" 1985 395129
"388" "Outdoor" "Outdoor" 1985 300233
"389" "Transit" "Transit" 1985 33136
"390" "Point-of-Sale" "Point-of-Sale" 1985 142921
"391" "Promotional Allowances" "Promotional Allowances" 1985 548877
"392" "Sampling Distribution" "Sampling Distribution" 1985 140565
"393" "Specialty Item Distribution" "Specialty Item Distribution" 1985 211429
